text,label
"⚠️ SECURITY ALERT: malicious version of my first app, which adds metasploit     sidewinder has used malicious apps as part of its operation before.",Malware
Report this! hyperscrape demonstrates charming kitten’s commitment to developing and maintaining purpose-built capabilities.,Malware
"Watch out! some malicious actors, such as ransomware operators, earn directly from their cyberattacks.",Malware
"Help my account! we have evidence that the routers of at least one vendor other than asus and watchguard are connecting to cyclops blink c&cs as well, but so far we have been unable to collect malware samples for this router brand.",Malware
New Instagram Scam!  the first known campaign was launched by crimeware on november 2014.,Malware
"Watch out! by using existing frameworks, examples of which are detailed in the following, it builds new backdoor variants more efficiently.",Malware
Help my account! they involve a hacker deploying malicious code known as magecart to an organization’s website.,Malware
"Report this! they’ve certainly caused a wealth of damage to end users with some of the more prominent malware families, such as cryptolocker, cryptowall, torrentlocker, and teslacrypt infecting millions of users overall.",Malware
Click bio link for more: 🚨 URGENT: one of the most notable characteristics of apt35 is their impersonation of conference officials to conduct phishing attacks.,Phishing
Click bio link for more: 🚨 URGENT: one of the most notable characteristics of apt35 is their impersonation of conference officials to conduct phishing attacks.,Phishing
🚨 🚨 URGENT: one of the most notable characteristics of apt35 is their impersonation of conference officials to conduct phishing attacks.,Phishing
Instagram warns users: 🚨 URGENT: one of the most notable characteristics of apt35 is their impersonation of conference officials to conduct phishing attacks.,Phishing
Someone sent me this: 🚨 URGENT: one of the most notable characteristics of apt35 is their impersonation of conference officials to conduct phishing attacks.,Phishing
"Instagram warns users: Important Info: the new emails used more common phishing tactics, such as alleged requests for payment confirmation.",Phishing
"Someone sent me this: Important Info: the new emails used more common phishing tactics, such as alleged requests for payment confirmation.",Phishing
"Instagram warns users: Important Info: the new emails used more common phishing tactics, such as alleged requests for payment confirmation.",Phishing
"Instagram warns users: Important Info: the new emails used more common phishing tactics, such as alleged requests for payment confirmation.",Phishing
"⚠️ Don't click! Important Info: the new emails used more common phishing tactics, such as alleged requests for payment confirmation.",Phishing
"Report this! suspicious activity using servhelper a campaign targeting china spoofed fedex-themed emails with subjects pertaining to delivery problems, failures, or notifications.",Malware
IG Safety: this malware and puppetloader’s decrypted loader.dlls share similar strings such as “[-] unexist pwszmodulefunname:”.,Malware
"⚠️ Don't click! 🚨 URGENT: while tracking the activities of the sidewinder group, which has become infamous for targeting the south asia region and its surrounding countries, we identified a server used to deliver a malicious lnk file and host multiple credential phishing pages.",Phishing
"Instagram warns users: 🚨 URGENT: while tracking the activities of the sidewinder group, which has become infamous for targeting the south asia region and its surrounding countries, we identified a server used to deliver a malicious lnk file and host multiple credential phishing pages.",Phishing
"Someone sent me this: 🚨 URGENT: while tracking the activities of the sidewinder group, which has become infamous for targeting the south asia region and its surrounding countries, we identified a server used to deliver a malicious lnk file and host multiple credential phishing pages.",Phishing
"🚨 🚨 URGENT: while tracking the activities of the sidewinder group, which has become infamous for targeting the south asia region and its surrounding countries, we identified a server used to deliver a malicious lnk file and host multiple credential phishing pages.",Phishing
"⚠️ Don't click! 🚨 URGENT: while tracking the activities of the sidewinder group, which has become infamous for targeting the south asia region and its surrounding countries, we identified a server used to deliver a malicious lnk file and host multiple credential phishing pages.",Phishing
"Check this out! we initially observed stealthvector, a shellcode loader written in c/c++, in october 2020.",Malware
🚨 URGENT: this script is likely activated by exploiting a cross-site scripting (xss) vulnerability in the said store’s administration portal.,Malware
Is this real?  the backdoor when run will create threads for each connection listed in its config file.  the sample that was caught by our systems contains 3 ip addresses in its config file.,Malware
"Help my account! based on our analysis, we believe the malware author did not fake the compile times of the binaries.",Malware
"Instagram warns users: 🚨 URGENT: carrying out a successful conversation hijacking spear phishing attack requires knowing someone that the ultimate target is communicating with, compromising that person’s account, identifying an ongoing email conversation with the ultimate target, crafting an email to appear part of that ongoing ema",Phishing
"New scam alert: 🚨 URGENT: carrying out a successful conversation hijacking spear phishing attack requires knowing someone that the ultimate target is communicating with, compromising that person’s account, identifying an ongoing email conversation with the ultimate target, crafting an email to appear part of that ongoing ema",Phishing
"Verify your account now: 🚨 URGENT: carrying out a successful conversation hijacking spear phishing attack requires knowing someone that the ultimate target is communicating with, compromising that person’s account, identifying an ongoing email conversation with the ultimate target, crafting an email to appear part of that ongoing ema",Phishing
"New scam alert: 🚨 URGENT: carrying out a successful conversation hijacking spear phishing attack requires knowing someone that the ultimate target is communicating with, compromising that person’s account, identifying an ongoing email conversation with the ultimate target, crafting an email to appear part of that ongoing ema",Phishing
"Click bio link for more: 🚨 URGENT: carrying out a successful conversation hijacking spear phishing attack requires knowing someone that the ultimate target is communicating with, compromising that person’s account, identifying an ongoing email conversation with the ultimate target, crafting an email to appear part of that ongoing ema",Phishing
"IG Safety: we found 147 new unique pieces of malware today alone, two of them fully undetectable by the legacy security solutions in virustotal and most of them barely detected by one vendor (few have 4/57 detection rate).",Malware
Important Info: magecart attacks get around that.,Malware
Important Info: userinstall.exe will abuse the bitsadmin command-line tool to create a job and launch sidebar.exe.,Malware
"Watch out!  the helloxd author(s) did modify the infamous file marker and mutex however, opting for dxunmgqehhehyrhtxywuhwrvzxqrcblo as the file marker and with best wishes and good intentions… as the mutex (figure 9).",Malware
"Someone sent me this: Watch out! upon reviewing phishing attempts since the beginning of this year, we’ve seen a rising number of attackers, including those from iran and north korea, impersonating news outlets or journalists.",Phishing
"#Phishing Alert on IG! Watch out! upon reviewing phishing attempts since the beginning of this year, we’ve seen a rising number of attackers, including those from iran and north korea, impersonating news outlets or journalists.",Phishing
"⚠️ Don't click! Watch out! upon reviewing phishing attempts since the beginning of this year, we’ve seen a rising number of attackers, including those from iran and north korea, impersonating news outlets or journalists.",Phishing
"🚨 Watch out! upon reviewing phishing attempts since the beginning of this year, we’ve seen a rising number of attackers, including those from iran and north korea, impersonating news outlets or journalists.",Phishing
"New scam alert: Watch out! upon reviewing phishing attempts since the beginning of this year, we’ve seen a rising number of attackers, including those from iran and north korea, impersonating news outlets or journalists.",Phishing
⚠️ SECURITY ALERT: figure 3 shows ransomware arrives via different application protocols.,Malware
"Is this real? compared to patchwork, whose trojanized documents exploit at least five security flaws, confucius’ backdoors are delivered through office files exploiting memory corruption vulnerabilities cve-2015-1641 and cve-2017-11882.",Malware
"Help my account! the actors behind this campaign, which we attribute to a group of hackers recruited in a russian-speaking forum, lure their target with fake collaboration opportunities (typically a demo for anti-virus software, vpn, music players, photo editing or online games), hijack their channel, then either se",Malware
"Important Info: we have observed that the remote desktop protocol (rdp) certificate associated in this deployment, “win-p9nrmh5g6m8,” is a common string found in previously identified earth karkaddan c&c servers.",Malware
IG Safety: scans the system’s windows version and computer name m.exe custom mimikatz (including 32bit / 64bit file),Malware
⚠️ SECURITY ALERT: we observed fewer than three dozen installs of this spyware.,Malware
"🚨 New Instagram Scam! when they did, attackers sent them phishing links in follow-on correspondence.",Phishing
"Instagram warns users: New Instagram Scam! when they did, attackers sent them phishing links in follow-on correspondence.",Phishing
"Verify your account now: New Instagram Scam! when they did, attackers sent them phishing links in follow-on correspondence.",Phishing
"Verify your account now: New Instagram Scam! when they did, attackers sent them phishing links in follow-on correspondence.",Phishing
"Instagram warns users: New Instagram Scam! when they did, attackers sent them phishing links in follow-on correspondence.",Phishing
Report this!  ddos attacks impacting ukrainian government and banking institutions hermeticwiper malware website defacement rise in phishing and scam attacks increase in cybersquatting trends fake donation websites dos attacks on ukrainian news sites distribution of apps how palo alto networks is working to keep,DDoS
Report this!  ddos attacks impacting ukrainian government and banking institutions hermeticwiper malware website defacement rise in phishing and scam attacks increase in cybersquatting trends fake donation websites dos attacks on ukrainian news sites distribution of apps how palo alto networks is working to keep,DDoS
Report this!  ddos attacks impacting ukrainian government and banking institutions hermeticwiper malware website defacement rise in phishing and scam attacks increase in cybersquatting trends fake donation websites dos attacks on ukrainian news sites distribution of apps how palo alto networks is working to keep,DDoS
Report this!  ddos attacks impacting ukrainian government and banking institutions hermeticwiper malware website defacement rise in phishing and scam attacks increase in cybersquatting trends fake donation websites dos attacks on ukrainian news sites distribution of apps how palo alto networks is working to keep,DDoS
Report this!  ddos attacks impacting ukrainian government and banking institutions hermeticwiper malware website defacement rise in phishing and scam attacks increase in cybersquatting trends fake donation websites dos attacks on ukrainian news sites distribution of apps how palo alto networks is working to keep,DDoS
